tcpdump.bc: tcpdump.bc: reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type LOOP (OpenBSD loopback)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type PFSYNC (Packet filter state syncing)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type PPP (PPP)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type ENC (OpenBSD encapsulated IP)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type ENC (OpenBSD encapsulated IP)
reading from file A, link-type ENC (OpenBSD encapsulated IP)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type PPP (PPP)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type PFLOG (OpenBSD pflog file)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type PRISM_HEADER (802.11 plus Prism header)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type IP_OVER_FC (RFC 2625 IP-over-Fibre Channel)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type SUNATM (Sun raw ATM)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type IEEE802_11_RADIO (802.11 plus radiotap header)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type JUNIPER_MLPPP (Juniper Multi-Link PPP)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type JUNIPER_MLFR (Juniper Multi-Link Frame Relay)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ARCNET_LINUX (Linux ARCNET)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
tcpdump.bc: reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_ES (Juniper Encryption Services PIC)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type JUNIPER_GGSN (Juniper GGSN PIC)
reading from file A, link-type MTP2 (SS7 MTP2)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type MTP3 (SS7 MTP3)
reading from file A, link-type JUNIPER_ATM2 (Juniper ATM2 PIC)
reading from file A, link-type MTP2 (SS7 MTP2)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type MTP3 (SS7 MTP3)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type MTP2 (SS7 MTP2)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type JUNIPER_MFR (Juniper FRF.16 Frame Relay)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type MTP2_WITH_PHDR (SS7 MTP2 with Pseudo-header)
reading from file A, link-type SCCP (SS7 SCCP)
reading from file A, link-type JUNIPER_ATM1 (Juniper ATM1 PIC)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type APPLE_IP_OVER_IEEE1394 (Apple IP-over-IEEE 1394)
reading from file A, link-type MTP2 (SS7 MTP2)
reading from file A, link-type JUNIPER_SERVICES (Juniper Advanced Services PIC)
reading from file A, link-type MTP3 (SS7 MTP3)
